dataset,category,image,method,cvd_type,delta_e2000,ssim,ssim_rgb,avg_gradient,entropy
primary27,usc-sipi,airplane,M1_intensity_slicing,protan,42.04348,0.29477,0.14143,0.05125,2.95787
primary27,usc-sipi,airplane,M2_sin_three_phase,protan,34.92431,0.43268,0.17959,0.06231,18.31672
primary27,usc-sipi,airplane,M4_jet,protan,39.93057,0.76223,0.22454,0.04000,13.62560
primary27,usc-sipi,airplane,M5_hot,protan,30.73113,0.94365,0.36980,0.08159,7.13692
primary27,usc-sipi,airplane,M5b_turbo,protan,39.66076,0.61572,0.22253,0.04670,17.16584
primary27,usc-sipi,airplane,M6_viridis,protan,22.11700,0.88327,0.49115,0.07360,14.72117
primary27,usc-sipi,airplane,M6b_cividis,protan,6.54656,0.96662,0.84829,0.07989,15.81452
primary27,usc-sipi,airplane,DE_Cividis,protan,7.44054,0.99327,0.68348,0.08297,19.11885
primary27,usc-sipi,airplane,M1_intensity_slicing,deutan,42.04348,0.29477,0.14143,0.05908,2.95787
primary27,usc-sipi,airplane,M2_sin_three_phase,deutan,34.92431,0.43268,0.17959,0.08097,18.31672
primary27,usc-sipi,airplane,M4_jet,deutan,39.93057,0.76223,0.22454,0.03468,13.62560
primary27,usc-sipi,airplane,M5_hot,deutan,30.73113,0.94365,0.36980,0.06609,7.13692
primary27,usc-sipi,airplane,M5b_turbo,deutan,39.66076,0.61572,0.22253,0.03799,17.16584
primary27,usc-sipi,airplane,M6_viridis,deutan,22.11700,0.88327,0.49115,0.08002,14.72117
primary27,usc-sipi,airplane,M6b_cividis,deutan,6.54656,0.96662,0.84829,0.07982,15.81452
primary27,usc-sipi,airplane,DE_Cividis,deutan,7.44054,0.99327,0.68348,0.08401,19.11885
primary27,usc-sipi,lena,M1_intensity_slicing,protan,40.90146,0.32534,0.18507,0.08220,4.10069
primary27,usc-sipi,lena,M2_sin_three_phase,protan,35.01287,0.36712,0.20247,0.07353,20.72699
primary27,usc-sipi,lena,M4_jet,protan,38.33739,0.60010,0.24634,0.08592,14.15106
primary27,usc-sipi,lena,M5_hot,protan,30.50455,0.95726,0.37842,0.06616,8.74452
primary27,usc-sipi,lena,M5b_turbo,protan,39.62555,0.52239,0.24071,0.07991,19.61052
primary27,usc-sipi,lena,M6_viridis,protan,22.92310,0.90280,0.52207,0.06998,17.80744
primary27,usc-sipi,lena,M6b_cividis,protan,11.20116,0.96490,0.82451,0.06665,18.31972
primary27,usc-sipi,lena,DE_Cividis,protan,11.79899,0.99527,0.70466,0.06849,21.26497
primary27,usc-sipi,lena,M1_intensity_slicing,deutan,40.90146,0.32534,0.18507,0.07781,4.10069
primary27,usc-sipi,lena,M2_sin_three_phase,deutan,35.01287,0.36712,0.20247,0.08142,20.72699
primary27,usc-sipi,lena,M4_jet,deutan,38.33739,0.60010,0.24634,0.07912,14.15106
primary27,usc-sipi,lena,M5_hot,deutan,30.50455,0.95726,0.37842,0.06666,8.74452
primary27,usc-sipi,lena,M5b_turbo,deutan,39.62555,0.52239,0.24071,0.08343,19.61052
primary27,usc-sipi,lena,M6_viridis,deutan,22.92310,0.90280,0.52207,0.06799,17.80744
primary27,usc-sipi,lena,M6b_cividis,deutan,11.20116,0.96490,0.82451,0.06701,18.31972
primary27,usc-sipi,lena,DE_Cividis,deutan,11.79899,0.99527,0.70466,0.07041,21.26497
primary27,usc-sipi,mandrill,M1_intensity_slicing,protan,40.94853,0.16263,-0.00498,0.13006,3.65151
primary27,usc-sipi,mandrill,M2_sin_three_phase,protan,33.14912,0.24275,0.07011,0.16241,19.06663
primary27,usc-sipi,mandrill,M4_jet,protan,38.81000,0.49840,0.09011,0.10716,13.73432
primary27,usc-sipi,mandrill,M5_hot,protan,31.10411,0.93533,0.32078,0.16706,7.60881
primary27,usc-sipi,mandrill,M5b_turbo,protan,38.96678,0.32249,0.02971,0.14373,17.81451
primary27,usc-sipi,mandrill,M6_viridis,protan,22.33112,0.85260,0.31240,0.14579,16.09547
primary27,usc-sipi,mandrill,M6b_cividis,protan,8.93718,0.95369,0.74437,0.15941,16.76748
primary27,usc-sipi,mandrill,DE_Cividis,protan,12.46416,0.99017,0.47316,0.16256,21.18377
primary27,usc-sipi,mandrill,M1_intensity_slicing,deutan,40.94853,0.16263,-0.00498,0.11381,3.65151
primary27,usc-sipi,mandrill,M2_sin_three_phase,deutan,33.14912,0.24275,0.07011,0.20745,19.06663
primary27,usc-sipi,mandrill,M4_jet,deutan,38.81000,0.49840,0.09011,0.09153,13.73432
primary27,usc-sipi,mandrill,M5_hot,deutan,31.10411,0.93533,0.32078,0.14199,7.60881
primary27,usc-sipi,mandrill,M5b_turbo,deutan,38.96678,0.32249,0.02971,0.11349,17.81451
primary27,usc-sipi,mandrill,M6_viridis,deutan,22.33112,0.85260,0.31240,0.15665,16.09547
primary27,usc-sipi,mandrill,M6b_cividis,deutan,8.93718,0.95369,0.74437,0.15698,16.76748
primary27,usc-sipi,mandrill,DE_Cividis,deutan,12.46416,0.99017,0.47316,0.16855,21.18377
primary27,usc-sipi,peppers,M1_intensity_slicing,protan,40.22504,0.22043,0.11610,0.12647,4.37593
primary27,usc-sipi,peppers,M2_sin_three_phase,protan,35.58331,0.25504,0.12805,0.13304,19.43963
primary27,usc-sipi,peppers,M4_jet,protan,38.23984,0.48188,0.15951,0.11710,13.44011
primary27,usc-sipi,peppers,M5_hot,protan,30.41443,0.95190,0.33326,0.10154,8.25216
primary27,usc-sipi,peppers,M5b_turbo,protan,38.70278,0.37131,0.13087,0.11558,18.83972
primary27,usc-sipi,peppers,M6_viridis,protan,22.82271,0.88433,0.43503,0.09748,17.30271
primary27,usc-sipi,peppers,M6b_cividis,protan,12.33323,0.95265,0.75489,0.09896,17.35878
primary27,usc-sipi,peppers,DE_Cividis,protan,13.69629,0.99354,0.66055,0.10127,21.58320
primary27,usc-sipi,peppers,M1_intensity_slicing,deutan,40.22504,0.22043,0.11610,0.11496,4.37593
primary27,usc-sipi,peppers,M2_sin_three_phase,deutan,35.58331,0.25504,0.12805,0.13853,19.43963
primary27,usc-sipi,peppers,M4_jet,deutan,38.23984,0.48188,0.15951,0.10560,13.44011
primary27,usc-sipi,peppers,M5_hot,deutan,30.41443,0.95190,0.33326,0.09449,8.25216
primary27,usc-sipi,peppers,M5b_turbo,deutan,38.70278,0.37131,0.13087,0.09932,18.83972
primary27,usc-sipi,peppers,M6_viridis,deutan,22.82271,0.88433,0.43503,0.09941,17.30271
primary27,usc-sipi,peppers,M6b_cividis,deutan,12.33323,0.95265,0.75489,0.09890,17.35878
primary27,usc-sipi,peppers,DE_Cividis,deutan,13.69629,0.99354,0.66055,0.10342,21.58320
primary27,ishihara,plate01_synthetic,M1_intensity_slicing,protan,41.51181,-0.10379,0.05780,0.14713,3.09682
primary27,ishihara,plate01_synthetic,M2_sin_three_phase,protan,35.24539,0.88766,0.29203,0.12875,12.95672
primary27,ishihara,plate01_synthetic,M4_jet,protan,40.21320,0.09636,0.13878,0.12341,10.58951
primary27,ishihara,plate01_synthetic,M5_hot,protan,27.80211,0.97781,0.51022,0.10028,5.57701
primary27,ishihara,plate01_synthetic,M5b_turbo,protan,37.89876,-0.05748,0.04600,0.12214,12.92175
primary27,ishihara,plate01_synthetic,M6_viridis,protan,25.29388,0.96469,0.48173,0.09325,12.51788
primary27,ishihara,plate01_synthetic,M6b_cividis,protan,13.83257,0.97075,0.69036,0.10116,11.77719
primary27,ishihara,plate01_synthetic,DE_Cividis,protan,12.40195,0.99498,0.60437,0.10462,15.91568
primary27,ishihara,plate01_synthetic,M1_intensity_slicing,deutan,41.51181,-0.10379,0.05780,0.14492,3.09682
primary27,ishihara,plate01_synthetic,M2_sin_three_phase,deutan,35.24539,0.88766,0.29203,0.13371,12.95672
primary27,ishihara,plate01_synthetic,M4_jet,deutan,40.21320,0.09636,0.13878,0.12726,10.58951
primary27,ishihara,plate01_synthetic,M5_hot,deutan,27.80211,0.97781,0.51022,0.10725,5.57701
primary27,ishihara,plate01_synthetic,M5b_turbo,deutan,37.89876,-0.05748,0.04600,0.12634,12.92175
primary27,ishihara,plate01_synthetic,M6_viridis,deutan,25.29388,0.96469,0.48173,0.10016,12.51788
primary27,ishihara,plate01_synthetic,M6b_cividis,deutan,13.83257,0.97075,0.69036,0.10136,11.77719
primary27,ishihara,plate01_synthetic,DE_Cividis,deutan,12.40195,0.99498,0.60437,0.10301,15.91568
primary27,ishihara,plate02_synthetic,M1_intensity_slicing,protan,41.87727,-0.07789,0.06287,0.14503,2.93270
