dataset,method,cvd_type,n,delta_e2000_mean,delta_e2000_std,ssim_mean,ssim_std,ssim_rgb_mean,ssim_rgb_std,avg_gradient_mean,avg_gradient_std,entropy_mean,entropy_std
external_kodak24,DE_Cividis,deutan,24,12.35587,3.05583,0.99188,0.00340,0.66945,0.08690,0.07801,0.03063,20.12103,1.52136
external_kodak24,DE_Cividis,protan,24,12.35587,3.05583,0.99188,0.00340,0.66945,0.08690,0.07442,0.02915,20.12103,1.52136
external_kodak24,M1_intensity_slicing,deutan,24,44.55712,3.03575,0.33144,0.10839,0.16247,0.08322,0.09746,0.03744,3.85537,0.67696
external_kodak24,M1_intensity_slicing,protan,24,44.55712,3.03575,0.33144,0.10839,0.16247,0.08322,0.10029,0.03954,3.85537,0.67696
external_kodak24,M2_sin_three_phase,deutan,24,36.38303,3.06798,0.20290,0.23952,0.20284,0.09221,0.08433,0.03239,19.84168,1.08109
external_kodak24,M2_sin_three_phase,protan,24,36.38303,3.06798,0.20290,0.23952,0.20284,0.09221,0.07796,0.03134,19.84168,1.08109
external_kodak24,M4_jet,deutan,24,40.84024,2.69030,0.62594,0.12823,0.22232,0.08433,0.09793,0.03995,13.01059,1.53884
external_kodak24,M4_jet,protan,24,40.84024,2.69030,0.62594,0.12823,0.22232,0.08433,0.10437,0.04189,13.01059,1.53884
external_kodak24,M5_hot,deutan,24,29.42027,2.78313,0.96211,0.00736,0.33795,0.09242,0.07128,0.02580,8.35420,0.62935
external_kodak24,M5_hot,protan,24,29.42027,2.78313,0.96211,0.00736,0.33795,0.09242,0.07014,0.02870,8.35420,0.62935
external_kodak24,M5b_turbo,deutan,24,43.39073,3.33054,0.56750,0.12796,0.21725,0.10779,0.08041,0.03147,18.97166,1.16051
external_kodak24,M5b_turbo,protan,24,43.39073,3.33054,0.56750,0.12796,0.21725,0.10779,0.07976,0.03244,18.97166,1.16051
external_kodak24,M6_viridis,deutan,24,22.13343,1.38037,0.88407,0.03506,0.51080,0.09328,0.07026,0.02729,16.72053,1.31903
external_kodak24,M6_viridis,protan,24,22.13343,1.38037,0.88407,0.03506,0.51080,0.09328,0.07624,0.02819,16.72053,1.31903
external_kodak24,M6b_cividis,deutan,24,11.46106,3.25933,0.95577,0.01776,0.80077,0.05712,0.06916,0.02707,17.38033,1.31414
external_kodak24,M6b_cividis,protan,24,11.46106,3.25933,0.95577,0.01776,0.80077,0.05712,0.06902,0.02715,17.38033,1.31414
primary27,DE_Cividis,deutan,27,15.21018,5.02900,0.98237,0.05475,0.61673,0.13620,0.13350,0.08194,16.52997,5.05502
primary27,DE_Cividis,protan,27,15.21018,5.02900,0.98237,0.05475,0.61673,0.13620,0.13429,0.08338,16.52997,5.05502
primary27,M1_intensity_slicing,deutan,27,42.36620,5.50937,0.05293,0.29577,0.11674,0.12496,0.12838,0.07718,3.20441,0.93431
primary27,M1_intensity_slicing,protan,27,42.36620,5.50937,0.05293,0.29577,0.11674,0.12496,0.12720,0.08020,3.20441,0.93431
primary27,M2_sin_three_phase,deutan,27,34.76940,6.49553,0.63865,0.32154,0.20427,0.17860,0.13450,0.07388,14.25988,5.99616
primary27,M2_sin_three_phase,protan,27,34.76940,6.49553,0.63865,0.32154,0.20427,0.17860,0.13240,0.07833,14.25988,5.99616
primary27,M4_jet,deutan,27,39.54485,4.03140,0.21442,0.40036,0.13163,0.15090,0.12999,0.07137,10.05509,4.04014
primary27,M4_jet,protan,27,39.54485,4.03140,0.21442,0.40036,0.13163,0.15090,0.13302,0.07578,10.05509,4.04014
primary27,M5_hot,deutan,27,28.06865,3.64385,0.95107,0.02713,0.45405,0.14927,0.12684,0.07603,6.02606,2.37876
primary27,M5_hot,protan,27,28.06865,3.64385,0.95107,0.02713,0.45405,0.14927,0.12354,0.07264,6.02606,2.37876
primary27,M5b_turbo,deutan,27,39.72386,5.14517,0.11513,0.38962,0.10395,0.17514,0.13683,0.08126,13.57605,5.61727
primary27,M5b_turbo,protan,27,39.72386,5.14517,0.11513,0.38962,0.10395,0.17514,0.13771,0.08274,13.57605,5.61727
primary27,M6_viridis,deutan,27,24.78633,2.00028,0.91419,0.08378,0.48188,0.12083,0.13190,0.08623,12.67981,5.10523
primary27,M6_viridis,protan,27,24.78633,2.00028,0.91419,0.08378,0.48188,0.12083,0.12650,0.08647,12.67981,5.10523
primary27,M6b_cividis,deutan,27,14.84908,5.35435,0.94761,0.07208,0.71945,0.09093,0.13276,0.08666,12.68854,5.19021
primary27,M6b_cividis,protan,27,14.84908,5.35435,0.94761,0.07208,0.71945,0.09093,0.13269,0.08567,12.68854,5.19021
